kind,path,date,exists,readable,rows,has_ts_ms,mismatch_rows,ts_ms_mismatch_rows,min_ts,max_ts,min_ts_ms,max_ts_ms,error
tick,data/parquet/tick/MNQ/20251110.parquet,2025-11-10,True,True,1499251,True,0,0,2025-11-10 00:00:00.002000,2025-11-10 23:59:57.496000,1762732800002,1762819197496,
depth,data/parquet/depth/MNQ/20251111.parquet,2025-11-11,True,True,29850955,True,0,0,2025-11-11 00:00:00,2025-11-11 23:59:59.982000,1762819200000,1762905599982,
tick,data/parquet/tick/MNQ/20251111.parquet,2025-11-11,True,True,1366570,True,0,0,2025-11-11 00:00:00.004000,2025-11-11 23:59:59.849000,1762819200004,1762905599849,
depth,data/parquet/depth/MNQ/20251112.parquet,2025-11-12,True,True,38102688,True,0,0,2025-11-12 00:00:00,2025-11-12 23:59:59.982000,1762905600000,1762991999982,
tick,data/parquet/tick/MNQ/20251112.parquet,2025-11-12,True,True,1511081,True,0,0,2025-11-12 00:00:00.007000,2025-11-12 23:59:59.682000,1762905600007,1762991999682,
depth,data/parquet/depth/MNQ/20251113.parquet,2025-11-13,True,True,58726033,True,0,0,2025-11-13 00:00:00,2025-11-13 23:59:59.970000,1762992000000,1763078399970,
tick,data/parquet/tick/MNQ/20251113.parquet,2025-11-13,True,True,2284552,True,0,0,2025-11-13 00:00:00.044000,2025-11-13 23:59:59.854000,1762992000044,1763078399854,
depth,data/parquet/depth/MNQ/20251114.parquet,2025-11-14,True,True,52624243,True,0,0,2025-11-14 00:00:00,2025-11-14 22:00:00.068000,1763078400000,1763157600068,
tick,data/parquet/tick/MNQ/20251114.parquet,2025-11-14,True,True,2338662,True,0,0,2025-11-14 00:00:00.053000,2025-11-14 21:59:59.916000,1763078400053,1763157599916,
depth,data/parquet/depth/MNQ/20251115.parquet,2025-11-15,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20251115.parquet,2025-11-15,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251116.parquet,2025-11-16,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20251116.parquet,2025-11-16,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251117.parquet,2025-11-17,False,,,,,,,,,,
tick,data/parquet/tick/MNQ/20251117.parquet,2025-11-17,False,,,,,,,,,,
